strain,length,country,year,lon,lat,date
EU514664,987,Bulgaria,2002,24.9671822837829,42.7531244512163,2002/11/02
EU514665,987,USA,2002,-74.76,40.22,2002/11/04
EU514666,987,China,2002,115.751455877455,33.8178483868483,2002/11/21
EU514668,987,South Korea,2002,127.515099340408,36.639213467055,2002/11/26
EU514669,987,China,2002,115.751455877455,33.8178483868483,2002/12/01
EU514670,987,USA,2002,-149.19,61.18,2002/12/02
EU514671,987,South Korea,2002,127.515099340408,36.639213467055,2002/12/02
EU514673,987,Japan,2002,137.215474187347,35.5841761876056,2002/12/09
EU514674,987,Taiwan,2002,120.967443330781,24.2464318735026,2002/12/09
EU514675,987,Turkey,2002,32.857069524008,39.3701909021964,2002/12/13
EU514676,987,Taiwan,2002,120.967443330781,24.2464318735026,2002/12/15
EU514678,987,China,2002,115.751455877455,33.8178483868483,2002/12/20
EU514682,987,USA,2002,-80.83,35.2,2002/12/29
AM502715,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502716,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502717,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502718,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502719,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502720,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502721,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502722,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502723,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502724,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502725,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502726,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502727,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502728,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502729,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502730,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502731,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502732,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502733,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502734,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502735,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502736,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502737,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502738,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502739,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502741,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502742,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502744,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502745,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502746,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502747,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AM502748,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/04
AY531033,1701,USA,2003,-85.7,42.89,2003/09
AY531039,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531040,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531041,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531042,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531043,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531044,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531045,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531046,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531047,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531048,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531049,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531050,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531051,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531052,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531053,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531054,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531055,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531056,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531057,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531058,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531059,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531060,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY531061,1701,Denmark,2003,11.0877098344176,55.8347635503797,2003/09
AY695084,987,China,2003,115.751455877455,33.8178483868483,2003/02
AY695085,987,China,2003,115.751455877455,33.8178483868483,2003/02
AY695086,987,China,2003,115.751455877455,33.8178483868483,2003/02
AY695087,987,China,2003,115.751455877455,33.8178483868483,2003/02
AY695088,987,China,2003,115.751455877455,33.8178483868483,2003/02
AY695089,987,China,2003,115.751455877455,33.8178483868483,2003/02
AY695090,987,China,2003,115.751455877455,33.8178483868483,2003/02
AY714347,987,China,2003,115.751455877455,33.8178483868483,2003/02
CY000001,1762,USA,2003,-73.94,40.67,2003/12/20
CY000009,1760,USA,2003,-73.94,40.67,2003/11/19
CY000017,1757,USA,2003,-73.94,40.67,2003/12/02
CY000025,1760,USA,2003,-73.94,40.67,2003/11/29
CY000041,1741,USA,2003,-73.94,40.67,2003/12/03
CY000049,1711,USA,2003,-73.94,40.67,2003/12/04
CY000057,1760,USA,2003,-73.94,40.67,2003/12/10
CY000065,1762,USA,2003,-73.94,40.67,2003/12/09
CY000073,1760,USA,2003,-73.94,40.67,2003/12/12
CY000081,1760,USA,2003,-73.94,40.67,2003/12/09
CY000089,1761,USA,2003,-73.94,40.67,2003/12/08
CY000097,1762,USA,2003,-73.94,40.67,2003/12/10
CY000105,1741,USA,2003,-73.94,40.67,2003/12/15
CY000121,1760,USA,2003,-73.94,40.67,2003/12/13
CY000129,1760,USA,2003,-73.94,40.67,2003/11/11
CY000137,1762,USA,2003,-73.94,40.67,2003/12/02
CY000145,1760,USA,2003,-73.94,40.67,2003/12/04
CY000153,1760,USA,2003,-73.94,40.67,2003/12/08
CY000161,1762,USA,2003,-73.94,40.67,2003/12/08
CY000169,1760,USA,2003,-73.94,40.67,2003/12/10
CY000177,1762,USA,2003,-73.94,40.67,2003/12/08
CY000193,1760,USA,2003,-73.94,40.67,2003/12/16
CY000249,1741,USA,2003,-73.94,40.67,2003/12/18
CY000265,1762,USA,2003,-73.94,40.67,2003/12/11
CY000345,1762,USA,2003,-73.94,40.67,2003/11/12
CY000353,1760,USA,2003,-73.94,40.67,2003/11/26
CY000361,1762,USA,2003,-73.94,40.67,2003/12/02
CY000377,1761,USA,2003,-73.94,40.67,2003/12/18
CY000473,1741,USA,2003,-73.94,40.67,2003/10/27
CY000505,1760,USA,2003,-73.94,40.67,2003/12/08
CY000513,1760,USA,2003,-73.94,40.67,2003/10/31
CY000521,1711,USA,2003,-73.94,40.67,2003/12/12
CY000753,1760,USA,2003,-73.94,40.67,2003/02/04
CY000769,1706,USA,2003,-73.94,40.67,2003/12/16
CY000777,1760,USA,2003,-73.94,40.67,2003/12/21
CY000785,1741,USA,2003,-73.94,40.67,2003/12/09
CY000865,1743,USA,2003,-73.94,40.67,2003/02/19
CY000873,1732,USA,2003,-73.94,40.67,2003/02/05
CY000881,1733,USA,2003,-73.94,40.67,2003/12/10
CY000901,1762,USA,2003,-73.94,40.67,2003/11/12
CY000909,1760,USA,2003,-73.94,40.67,2003/12/03
CY000917,1711,USA,2003,-73.94,40.67,2003/12/19
CY000949,1738,USA,2003,-73.94,40.67,2003/12/10
CY000957,1741,USA,2003,-73.94,40.67,2003/12/16
CY000965,1760,USA,2003,-73.94,40.67,2003/12/26
CY000973,1741,USA,2003,-73.94,40.67,2003/12/29
CY001013,1760,USA,2003,-73.94,40.67,2003/03/08
CY001021,1760,USA,2003,-73.94,40.67,2003/10/28
CY001037,1741,USA,2003,-73.94,40.67,2003/10/31
CY001045,1760,USA,2003,-73.94,40.67,2003/12/29
CY001053,1741,USA,2003,-73.94,40.67,2003/11/16
CY001061,1741,USA,2003,-73.94,40.67,2003/12/01
CY001064,1762,USA,2003,-73.94,40.67,2003/12/10
CY001088,1733,USA,2003,-73.94,40.67,2003/12/01
CY001096,1711,USA,2003,-73.94,40.67,2003/12/04
CY001112,1760,USA,2003,-73.94,40.67,2003/10/28
CY001160,1718,USA,2003,-73.94,40.67,2003/04/05
CY001205,1711,USA,2003,-73.94,40.67,2003/12/16
CY001213,1760,USA,2003,-73.94,40.67,2003/12/29
CY001221,1741,USA,2003,-73.94,40.67,2003/12/29
CY001253,1711,USA,2003,-73.94,40.67,2003/03/21
CY001285,1750,USA,2003,-73.94,40.67,2003/10/31
CY001293,1732,USA,2003,-73.94,40.67,2003/12/04
CY001341,1716,USA,2003,-73.94,40.67,2003/12/23
CY001373,1710,USA,2003,-73.94,40.67,2003/04/10
CY001405,1761,USA,2003,-73.94,40.67,2003/04/22
CY001421,1718,USA,2003,-73.94,40.67,2003/12/01
CY001461,1711,USA,2003,-73.94,40.67,2003/02/18
CY001469,1718,USA,2003,-73.94,40.67,2003/05/07
CY001512,1760,USA,2003,-73.94,40.67,2003/12/16
CY001536,1711,USA,2003,-73.94,40.67,2003/02/19
CY001544,1718,USA,2003,-73.94,40.67,2003/03/14
CY001552,1711,USA,2003,-73.94,40.67,2003/04/22
CY001560,1722,USA,2003,-73.94,40.67,2003/04/22
CY001624,1711,USA,2003,-73.94,40.67,2003/11/28
CY001632,1762,USA,2003,-73.94,40.67,2003/11/27
CY001640,1718,USA,2003,-73.94,40.67,2003/11/28
CY001648,1738,USA,2003,-73.94,40.67,2003/11/18
CY001712,1714,USA,2003,-73.94,40.67,2003/11/28
CY002344,1741,USA,2003,-73.94,40.67,2003/11/28
CY002520,1718,USA,2003,-73.94,40.67,2003/08/16
CY003680,1737,USA,2003,-73.94,40.67,2003/01/20
CY006859,1721,USA,2003,-73.94,40.67,2003/04/23
CY008876,1721,USA,2003,-73.94,40.67,2003/12/31
CY008884,1721,USA,2003,-73.94,40.67,2003/12/08
CY008892,1721,USA,2003,-73.94,40.67,2003/12/15
CY008900,1721,USA,2003,-73.94,40.67,2003/11/21
CY008916,1721,USA,2003,-73.94,40.67,2003/11/12
CY009244,1721,USA,2003,-73.94,40.67,2003/11/19
CY026043,987,Austria,2003,14.8327100265914,47.8396043830117,2003/12/21
CY026044,987,Austria,2003,14.8327100265914,47.8396043830117,2003/12/29
CY026114,987,Austria,2003,14.8327100265914,47.8396043830117,2003/02/06
CY026115,987,Austria,2003,14.8327100265914,47.8396043830117,2003/02/14
CY026116,987,Austria,2003,14.8327100265914,47.8396043830117,2003/02/17
CY026117,987,Austria,2003,14.8327100265914,47.8396043830117,2003/02/19
CY026118,987,Austria,2003,14.8327100265914,47.8396043830117,2003/02/24
CY026119,987,Austria,2003,14.8327100265914,47.8396043830117,2003/02/24
CY026120,987,Austria,2003,14.8327100265914,47.8396043830117,2003/02/25
CY026121,987,Austria,2003,14.8327100265914,47.8396043830117,2003/02/28
CY026122,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/03
CY026123,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/04
CY026124,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/04
CY026125,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/05
CY026126,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/06
CY026127,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/06
CY026128,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/07
CY026129,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/10
CY026130,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/10
CY026131,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/11
CY026132,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/11
CY026133,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/13
CY026134,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/18
CY026135,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/19
CY026136,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/20
CY026137,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/20
CY026138,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/31
DQ059385,1701,USA,2003,-97.51,35.47,2003/10
DQ167298,984,Finland,2003,24.9257182762545,61.7429917907309,2003/12
DQ227424,1655,Canada,2003,-88.0425788603422,46.6123146954127,2003/12
EF473609,1042,USA,2003,-85.7,42.89,2003/12/09
EF473611,1068,USA,2003,-80.83,35.2,2003/12/29
EF473612,1020,USA,2003,-80.83,35.2,2003/12/23
EF473613,1068,USA,2003,-73.94,40.67,2003/12/29
EF473614,1068,USA,2003,-112.07,33.54,2003/12/22
EF473616,1103,USA,2003,-96.01,41.26,2003/11/14
EF473617,1068,USA,2003,-122.66,45.54,2003/12/29
EF473620,1068,USA,2003,-76.04,36.74,2003/12/03
EF473621,1068,USA,2003,-96.01,41.26,2003/12/16
EF473623,1103,USA,2003,-105.95,35.68,2003/12/01
EF473624,1103,USA,2003,-76.04,36.74,2003/11/19
EF473627,1099,USA,2003,-96.01,41.26,2003/12/08
EF473629,1059,USA,2003,-96.01,41.26,2003/12/04
EF473632,1052,USA,2003,-80.83,35.2,2003/12/19
EF473633,1070,USA,2003,-80.83,35.2,2003/12/01
EF670520,1118,Norway,2003,9.85276744477849,60.9600065235272,2003/10/17
EU106671,984,Austria,2003,14.8327100265914,47.8396043830117,2003/02/13
EU106672,987,Austria,2003,14.8327100265914,47.8396043830117,2003/03/05
EU106673,987,Austria,2003,14.8327100265914,47.8396043830117,2003/02/19
EU501207,987,China,2003,115.751455877455,33.8178483868483,2003/12/05
EU501222,987,Japan,2003,137.215474187347,35.5841761876056,2003/12/23
EU501223,987,Japan,2003,137.215474187347,35.5841761876056,2003/02/12
EU501246,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/01/08
EU501247,987,Finland,2003,24.9257182762545,61.7429917907309,2003/01/14
EU501248,987,China,2003,115.751455877455,33.8178483868483,2003/08/05
EU501249,987,China,2003,115.751455877455,33.8178483868483,2003/05/21
EU501250,987,China,2003,115.751455877455,33.8178483868483,2003/07/12
EU501251,987,China,2003,115.751455877455,33.8178483868483,2003/08/24
EU501252,987,Japan,2003,137.215474187347,35.5841761876056,2003/12/03
EU501253,987,China,2003,115.751455877455,33.8178483868483,2003/11/28
EU501266,987,China,2003,115.751455877455,33.8178483868483,2003/04/15
EU501267,987,China,2003,115.751455877455,33.8178483868483,2003/05/20
EU501268,987,Japan,2003,137.215474187347,35.5841761876056,2003/12/15
EU501269,987,Japan,2003,137.215474187347,35.5841761876056,2003/01/30
EU501270,987,China,2003,115.751455877455,33.8178483868483,2003/02/02
EU501271,987,China,2003,115.751455877455,33.8178483868483,2003/02/12
EU501272,987,China,2003,115.751455877455,33.8178483868483,2003/02/16
EU501273,987,China,2003,115.751455877455,33.8178483868483,2003/02/18
EU501274,987,Japan,2003,137.215474187347,35.5841761876056,2003/12/18
EU501275,987,Russia,2003,135.12,48.42,2003/11/23
EU501276,987,South Korea,2003,127.515099340408,36.639213467055,2003/12/30
EU501277,987,France,2003,2.81490078363661,47.2569278333929,2003/12/18
EU501278,987,USA,2003,-89.93,30.07,2003/10/21
EU501286,987,USA,2003,-90.01,35.11,2003/01/16
EU501287,987,USA,2003,-90.01,35.11,2003/01/16
EU501288,987,USA,2003,-90.01,35.11,2003/01/21
EU501289,987,USA,2003,-90.01,35.11,2003/01/21
EU501290,987,USA,2003,-90.01,35.11,2003/12/03
EU501291,987,Russia,2003,37.62,55.75,2003/02/04
EU501292,987,Russia,2003,37.62,55.75,2003/12/08
EU501293,987,Russia,2003,37.62,55.75,2003/12/15
EU501294,987,Japan,2003,137.215474187347,35.5841761876056,2003/12/08
EU501300,987,Japan,2003,137.215474187347,35.5841761876056,2003/12/01
EU501313,987,Japan,2003,137.215474187347,35.5841761876056,2003/12/09
EU501314,987,Japan,2003,137.215474187347,35.5841761876056,2003/12/16
EU501315,987,China,2003,115.751455877455,33.8178483868483,2003/04/16
EU501316,987,Japan,2003,137.215474187347,35.5841761876056,2003/12/22
EU501322,987,Bulgaria,2003,24.9671822837829,42.7531244512163,2003/02/01
EU501334,987,Taiwan,2003,120.967443330781,24.2464318735026,2003/09/07
EU501336,987,USA,2003,-95.39,29.77,2003/10/02
EU501337,987,USA,2003,-95.39,29.77,2003/10/03
EU501338,987,China,2003,115.751455877455,33.8178483868483,2003/10/04
EU501339,987,China,2003,115.751455877455,33.8178483868483,2003/10/20
EU501340,987,Japan,2003,137.215474187347,35.5841761876056,2003/12/12
EU501343,987,United Kingdom,2003,-1.57365367314527,52.6614255312049,2003/03/08
EU501359,987,China,2003,115.751455877455,33.8178483868483,2003/06/30
EU501360,987,China,2003,115.751455877455,33.8178483868483,2003/06/30
EU501361,987,USA,2003,-85.7,42.89,2003/01/28
EU501362,987,USA,2003,-85.7,42.89,2003/02/13
EU501516,987,USA,2003,-97.51,35.47,2003/12/08
EU502113,987,USA,2003,-149.19,61.18,2003/07/22
EU502114,987,USA,2003,-149.19,61.18,2003/02/05
EU502115,987,USA,2003,-149.19,61.18,2003/02/12
EU502116,987,USA,2003,-149.19,61.18,2003/12/17
EU502117,987,USA,2003,-149.19,61.18,2003/04/07
EU502122,987,USA,2003,-92.35,34.72,2003/11/17
EU502123,987,USA,2003,-92.35,34.72,2003/10/16
EU502124,987,USA,2003,-112.07,33.54,2003/11/26
EU502125,987,USA,2003,-112.07,33.54,2003/03/11
EU502126,987,USA,2003,-112.07,33.54,2003/03/20
EU502128,987,USA,2003,-112.07,33.54,2003/11/10
EU502129,987,USA,2003,-112.07,33.54,2003/10/23
EU502130,987,USA,2003,-112.07,33.54,2003/10/23
EU502131,987,USA,2003,-112.07,33.54,2003/12/22
EU502137,987,USA,2003,-112.07,33.54,2003/03/01
EU502138,987,Bangladesh,2003,90.4113608365672,23.563298204673,2003/05/06
EU502172,987,USA,2003,-104.87,39.77,2003/11/03
EU502173,987,USA,2003,-73.2,41.19,2003/09/27
EU502174,987,USA,2003,-73.2,41.19,2003/09/11
EU502176,987,USA,2003,-73.2,41.19,2003/08/27
EU502177,987,USA,2003,-77.02,38.91,2003/08/22
EU502178,987,Egypt,2003,31.1850202016497,29.8814711383923,2003/01/14
EU502179,987,Egypt,2003,31.1850202016497,29.8814711383923,2003/01/23
EU502180,987,Egypt,2003,31.1850202016497,29.8814711383923,2003/03/03
EU502181,987,Egypt,2003,31.1850202016497,29.8814711383923,2003/11/15
EU502186,987,USA,2003,-80.21,25.78,2003/11/04
EU502187,987,USA,2003,-80.21,25.78,2003/11/06
EU502188,987,USA,2003,-84.42,33.76,2003/01/06
EU502189,987,USA,2003,-84.42,33.76,2003/12/15
EU502190,987,USA,2003,-84.42,33.76,2003/12/15
